Year,Yield,So luong,Scale,Duration,Distance,,,,,
2000,41.4,1,10,1,1,,,,,
2001,40.2,1,14,2,0,,,,,
2002,43.1,0,0,0,-1,,,,,
2003,43.7,0,0,0,-1,,,,,
2004,46.6,0,0,0,-1,,,,,
2005,46,1,10,2,0,,,,,
2006,47.2,2,"8,13","3,2","0,2",,,,,
2007,43.2,1,12,2,0,,,,,
2008,47.8,1,9,3,0,,,,,
2009,47.9,2,"13,6.5","3,3","2,2",,,,,
2010,45,1,10.5,2,2,,,,,
2011,49.3,0,0,0,-1,,,,,
2012,49.1,0,0,0,-1,,,,,
2013,47.1,5,"12,12,8,7,8","2,2,2,4,3","0,2,2,2,2",,,,,
2014,51.2,0,0,0,-1,,,,,
2015,50.9,0,0,0,-1,,,,,
2016,51.2,2,"8,7","3,5","2,2",,,,,
2017,51.4,5,"12.5,13,10,7,8","2,2,1,2,5","0,2,1,1,1",,,,,
2018,52.4,1,6.5,5,0,,,,,
2019,50,1,9,2,0,,,,,
2020,51.4,8,"7,8.5,6.5,13,8.5,8,6,9","3,2,1,2,3,1,1,1","2,2,0,2,0,2,2,2",,,,,
2021,54.5,2,"6,9","2,3","2,2",,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,2,,
,,,,,,,,2,2,20
,,,,,,,,1,2,20
,,,,,,,,2,2,21
,,,,,,,,,2,21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,6,51.4,1,,,
,,,,,9,51.4,1,,,
,,,,,6,54.5,2,,,
,,,,,9,54.5,3,,,
