Administrative area,Totalarea (ha),Tree coverExtentin 2000 (ha),Tree coverExtentin 2010 (ha),Carbonbiomass(Mt),Carbonemissions2001-18 (Mt),Avg carbonemissions/year2001-18 (Mt),Avg carbonemissions/year2001-10 (Mt),Avg carbonemissions/year2011-18 (Mt)
An Giang,354119,38582,31882,6369759,325818,18101,23254,11659
Bà Rịa - Vũng Tàu,191701,56906,53914,17296596,3359260,186626,151605,230402
Bình Dương,270898,97854,122062,36444214,24816217,1378679,810840,2088477
Bình Phước,689743,371286,356892,129436321,34874742,1937486,1913913,1966951
Bình Thuận,796755,283306,273191,109852875,15681604,871200,1177333,488534
Bình Định,609135,366770,357500,150685927,27792338,1544019,787157,2490096
Bạc Liêu,249239,7361,23563,898367,44629,2479,2859,2004
Bắc Giang,391359,123634,132230,44930415,13502996,750166,278869,1339288
Bắc Kạn,488201,415635,407074,151681104,11874950,659719,301308,1107734
Bắc Ninh,83018,268,1151,53325,4995,278,484,19
Bến Tre,235307,33743,63622,4633333,30899,1717,1125,2456
Cao Bằng,672900,461544,434542,160998980,4696763,260931,228630,301308
Cà Mau,518826,78239,77642,10726767,1976778,109821,36647,201289
Cần Thơ,145029,10014,13238,1313458,40699,2261,3289,977
Gia Lai,1556686,723114,667899,323414131,58275968,3237554,2625786,4002264
Hoà Bình,460366,276207,274161,98017592,13192952,732942,304050,1269057
Hà Giang,795211,462207,411574,168063391,8989386,499410,375530,654261
Hà Nam,87003,5482,4423,1827988,100005,5556,3287,8393
Hà Nội,338885,17245,27498,5570785,488324,27129,23296,31920
Hà Tĩnh,601086,340640,344395,140718900,28587062,1588170,798120,2575733
Hưng Yên,93625,127,753,26138,4295,239,417,15
Hải Dương,168612,6234,10790,1826498,179371,9965,6005,14915
Hải Phòng,142031,15974,17174,4846474,76350,4242,5273,2952
Hậu Giang,163404,27321,44747,3571352,78835,4380,4150,4667
Hồ Chí Minh,212740,42937,48395,8816332,772812,42934,9694,84484
Khánh Hòa,486436,293758,295178,123636766,14444326,802463,465627,1223507
Kiên Giang,632061,86868,114113,22114537,1571117,87284,52096,131270
Kon Tum,968441,748857,686308,369517832,71153445,3952969,2910885,5255574
Lai Châu,908890,560787,564710,207949211,7806787,433710,278806,627340
Long An,451363,60961,71736,8041691,755182,41955,33824,52118
Lào Cai,638257,326908,297732,126492737,5701138,316730,335873,292802
Lâm Đồng,982569,720304,677804,296101570,33267114,1848173,1728956,1997194
Lạng Sơn,833616,574783,572026,206958896,19124443,1062469,637406,1593797
Nam Định,160142,2446,3457,351815,16786,933,1480,249
Nghệ An,1653421,1089736,1070679,446734348,59701654,3316759,1362184,5759977
Ninh Bình,135519,24361,22522,8822649,422870,23493,15787,33126
Ninh Thuận,337603,138217,140560,55746997,3948169,219343,237395,196778
Phú Thọ,355955,141676,158062,45311234,10861816,603434,220030,1082690
Phú Yên,505167,254999,256379,99106445,23074134,1281896,576346,2163834
Quảng Bình,800069,606158,602119,251667968,24265235,1348069,536454,2362587
Quảng Nam,1061324,813755,816503,355491436,59373144,3298508,1190754,5933200
Quảng Ngãi,519102,322922,316977,125497574,42201989,2344555,1083800,3920499
Quảng Ninh,604242,340572,334148,114135598,30732977,1707388,772598,2875874
Quảng Trị,463418,312697,303586,115887087,30440483,1691138,908811,2669047
Sóc Trăng,330198,21199,61170,2957958,204379,11354,6592,17307
Sơn La,1415825,833075,734382,305053922,37330224,2073901,2435777,1621557
Thanh Hóa,1116193,615305,601001,223884667,25300765,1405598,567278,2453499
Thái Bình,162442,2680,3863,336266,18896,1050,1714,220
Thái Nguyên,354088,186666,194754,65521798,16362533,909030,268305,1709936
Thừa Thiên Huế,504805,335849,343801,147243174,19486265,1082570,372750,1969846
Tiền Giang,242205,33665,56013,4188568,75572,4198,2937,5775
Trà Vinh,234166,14775,31654,2136028,47573,2643,3012,2181
Tuyên Quang,588952,389915,370550,140714120,23420668,1301148,699829,2052797
Tây Ninh,405732,82791,128871,27577910,5465111,303617,90154,570447
Vĩnh Long,153683,16733,25775,2237782,37327,2074,2531,1502
Vĩnh Phúc,124254,21520,24612,8464468,853407,47412,29544,69746
Yên Bái,691365,437735,434528,161018575,12754721,708596,529438,932543
Điện Biên,953359,607271,572931,226086308,28186103,1565895,1144025,2093232
Đà Nẵng,98956,62187,65691,27918516,4198612,233256,165521,317925
Đắk Lắk,1307322,546961,587186,223182703,38635632,2146424,1874977,2485733
Đắk Nông,653244,425874,383789,178927738,49959651,2775536,2929506,2583074
Đồng Nai,589092,261485,260889,98351958,9910347,550575,399522,739391
Đồng Tháp,340593,33704,46690,4611290,211300,11739,13676,9318
