Year1,Year2,Difference,,So luong bao,Year distance,,,,Year,Yield,So luong,Scale,Duration,Distance,,Scale,Yield,Duration,Season,Distance,Year
2001,2000,-1.2,,,1,,,,2000,41.4,1,10,1,1,,10,41.4,1,1,1,0
2002,2000,1.7,,,2,,,,2001,40.2,1,14,2,0,,14,40.2,2,1,0,1
2002,2001,2.9,,,1,,,,2002,43.1,0,0,0,-1,,10,46,2,2,1,5
2003,2000,2.3,,,3,,,,2003,43.7,0,0,0,-1,,8,47.2,3,2,0,6
2003,2001,3.5,,,2,,,,2004,46.6,0,0,0,-1,,13,47.2,2,2,2,6
2003,2002,0.6,,,1,,,,2005,46,1,10,2,0,,12,47.2,2,2,0,7
2004,2000,5.2,,,4,,,,2006,47.2,2,"8,13","3,2","0,2",,9,47.8,3,2,0,8
2004,2001,6.4,,,3,,,,2007,43.2,1,12,2,0,,13,47.9,3,2,2,9
2004,2002,3.5,,,2,,,,2008,47.8,1,9,3,0,,6.5,47.9,3,1,2,9
2004,2003,2.9,,,1,,,,2009,47.9,2,"13,6.5","3,3","2,2",,10.5,45,2,1,2,10
2005,2000,4.6,,,5,,,,2010,45,1,10.5,2,2,,12,47.1,2,2,0,13
2005,2001,5.8,,,4,,,,2011,49.3,0,0,0,-1,,12,47.1,2,0,2,13
2005,2002,2.9,,,3,,,,2012,49.1,0,0,0,-1,,8,47.1,2,0,2,13
2005,2003,2.3,,,2,,,,2013,47.1,5,"12,12,8,7,8","2,2,2,4,3","0,2,2,2,2",,7,47.1,4,2,2,13
2005,2004,-0.6,,,1,,,,2014,51.2,0,0,0,-1,,8,47.1,3,0,2,13
2006,2000,5.8,,,6,,,,2015,50.9,0,0,0,-1,,8,51.2,3,2,2,16
2006,2001,7,,,5,,,,2016,51.2,2,"8,7","3,5","2,2",,7,51.2,5,2,2,16
2006,2002,4.1,,,4,,,,2017,51.4,5,"12.5,13,10,7,8","2,2,1,2,5","0,2,1,1,1",,12.5,51.4,2,2,0,17
2006,2003,3.5,,,3,,,,2018,52.4,1,6.5,5,0,,13,51.4,2,0,2,17
2006,2004,0.6,,,2,,,,2019,50,1,9,2,0,,10,51.4,1,1,1,17
2006,2005,1.2,,,1,,,,2020,51.4,8,"7,8.5,6.5,13,8.5,8,6,9","3,2,1,2,3,1,1,1","2,2,0,2,0,2,2,2",,7,51.4,2,2,1,17
2007,2000,1.8,,,7,,,,2021,54.5,2,"6,9","2,3","2,2",,8,51.4,5,1,1,17
2007,2001,3,,,6,,,,2022,51,0,,,,,6.5,52.4,5,1,0,18
2007,2002,0.1,,,5,,,,,,,,,,,9,50,2,2,0,19
2007,2003,-0.5,,,4,,,,,,,,,,,7,51.4,3,1,2,20
2007,2004,-3.4,,,3,,,,,,,,,,,8.5,51.4,2,2,2,20
2007,2005,-2.8,,,2,,,,,,,,,,,6.5,51.4,1,0,0,20
2007,2006,-4,,,1,,,,,,,,,,,13,51.4,2,0,2,20
2008,2000,6.4,,,8,,,,,,,,,,,8.5,51.4,3,0,0,20
2008,2001,7.6,,,7,,,,,,,,,,,8,51.4,1,0,2,20
2008,2002,4.7,,,6,,,,,,,,,,,,,,,,
2008,2003,4.1,,,5,,,,,,,,,,,,,,,,
2008,2004,1.2,,,4,,,,,,,,,,,,,,,,
2008,2005,1.8,,,3,,,,,,,,,,,,,,,,
2008,2006,0.6,,,2,,,,,,,,,,,,,,,,
2008,2007,4.6,,,1,,,,,,,,,,,,,,,,
2009,2000,6.5,,,9,,,,,,,,,,,,,,,,
2009,2001,7.7,,,8,,,,,,,,,,,,,,,,
2009,2002,4.8,,,7,,,,,,,,,,,,,,,,
2009,2003,4.2,,,6,,,,,,,,,,,,,,,,
2009,2004,1.3,,,5,,,,,,,,,,,,,,,,
2009,2005,1.9,,,4,,,,,,,,,,,,,,,,
2009,2006,0.7,,,3,,,,,,,,,,,,,,,,
2009,2007,4.7,,,2,,,,,,,,,,,,,,,,
2009,2008,0.1,,,1,,,,,,,,,,,,,,,,
2010,2000,3.6,,,10,,,,,,,,,,,,,,,,
2010,2001,4.8,,,9,,,,,,,,,,,,,,,,
2010,2002,1.9,,,8,,,,,,,,,,,,,,,,
2010,2003,1.3,,,7,,,,,,,,,,,,,,,,
2010,2004,-1.6,,,6,,,,,,,,,,,,,,,,
2010,2005,-1,,,5,,,,,,,,,,,,,,,,
2010,2006,-2.2,,,4,,,,,,,,,,,,,,,,
2010,2007,1.8,,,3,,,,,,,,,,,,,,,,
2010,2008,-2.8,,,2,,,,,,,,,,,,,,,,
2010,2009,-2.9,,,1,,,,,,,,,,,,,,,,
2011,2000,7.9,,,11,,,,,,,,,,,,,,,,
2011,2001,9.1,,,10,,,,,,,,,,,,,,,,
2011,2002,6.2,,,9,,,,,,,,,,,,,,,,
2011,2003,5.6,,,8,,,,,,,,,,,,,,,,
2011,2004,2.7,,,7,,,,,,6,51.4,1,2,2,20,,,,,
2011,2005,3.3,,,6,,,,,,9,51.4,1,2,2,20,,,,,
2011,2006,2.1,,,5,,,,,,6,54.5,2,1,2,21,,,,,
2011,2007,6.1,,,4,,,,,,9,54.5,3,2,2,21,,,,,
2011,2008,1.5,,,3,,,,,,,,,,,,,,,,
2011,2009,1.4,,,2,,,,,,,,,,,,,,,,
2011,2010,4.3,,,1,,,,,,,,,,,,,,,,
2012,2000,7.7,,,12,,,,,,,,,,,,,,,,
2012,2001,8.9,,,11,,,,,,,,,,,,,,,,
2012,2002,6,,,10,,,,,,,,,,,,,,,,
2012,2003,5.4,,,9,,,,,,,,,,,,,,,,
2012,2004,2.5,,,8,,,,,,,,,,,,,,,,
2012,2005,3.1,,,7,,,,,,,,,,,,,,,,
2012,2006,1.9,,,6,,,,,,,,,,,,,,,,
2012,2007,5.9,,,5,,,,,,,,,,,,,,,,
2012,2008,1.3,,,4,,,,,,,,,,,,,,,,
2012,2009,1.2,,,3,,,,,,,,,,,,,,,,
2012,2010,4.1,,,2,,,,,,,,,,,,,,,,
2012,2011,-0.2,,,1,,,,,,,,,,,,,,,,
2013,2000,5.7,,,13,,,,,,,,,,,,,,,,
